fid,ID,FEATCODE,layer,area,BUA22NM
148,217611AF-72AD-4C9A-8780-6953C37809EE,25612,NK_Foreshore,37928,Peterhead
149,BFF64FF3-C393-4258-AA2C-7009BAF35086,25612,NH_Foreshore,12144,Inverness
150,DC1D2DA4-9655-454E-8932-735ABA814957,25612,TQ_Foreshore,535130,Greenwich
151,80CFAEDB-FB19-4154-87E2-520E6138E438,25612,SH_Foreshore,14268,Rhyl
152,54D59869-7015-4243-B04D-4182B13E6BE9,25612,TR_Foreshore,2089452,Margate
153,54D59869-7015-4243-B04D-4182B13E6BE9,25612,TR_Foreshore,396093,Broadstairs
154,760F579C-8600-46D2-A207-B8514347E175,25612,ST_Foreshore,190826,Bristol
155,AA24329B-37B4-40F5-8438-0678074B7118,25612,SW_Foreshore,22269,Truro
156,04584D77-1489-4D54-845C-6F821B9B5F05,25612,TQ_Foreshore,150514,Dartford
157,109B5EEA-769B-4EDB-9C83-66203EE5A73C,25612,TA_Foreshore,4561,Humberston and New Waltham
158,1A53916B-FDA9-46CF-A09B-CF3A1B988F2F,25612,SX_Foreshore,160370,Plymouth
159,23FEEF69-7533-43DC-A17B-E4119E1E8A47,25612,SX_Foreshore,7144,Exeter
160,118824FC-73DF-435D-A197-340D4EDAAF8E,25612,TQ_Foreshore,315861,Rochester
161,273DB244-F736-4601-996E-BF86DA3B1574,25612,ST_Foreshore,12602,Penarth
162,849DEE21-411F-4126-AEC7-7A06DB371DEE,25612,SS_Foreshore,42682,Neath
163,013232E7-B6F7-4347-967B-1C00A5BC5403,25612,SD_Foreshore,1795,Bootle (Sefton)
164,B0D159B3-EBAD-44F0-AF29-EDB69446BD29,25612,TQ_Foreshore,61155,Lancing and Sompting
165,A0C59D26-27ED-4817-8483-5AEDCA50855C,25612,TQ_Foreshore,228936,Grays
166,A7A92CEB-5F24-4C03-9E6F-1B48685E5737,25612,TG_Foreshore,3199,Norwich
167,B3FCCF34-64F4-43A7-B989-B3772E44D4C4,25612,TQ_Foreshore,431767,Wandsworth
168,4F0521EB-1B41-4C3B-B68A-0DC07C896DDB,25612,NS_Foreshore,129855,Irvine
