"name","Deciduous woodland","Coniferous woodland","Arable","Improved grassland","Neutral grassland","Calacareous grassland","Acid grassland","Fen","Heather","Heather grassland","Bog","Inland rock","Saltwater","Freshwater","Supralittoral rock","Supralittoral sediment","Littoral rock","Littoral sediment","Saltmarsh","Urban","Suburban","total_ceh","surface_water_area","foreshore_area","tidal_water_area","original_bua_area","200m_buff_area","class","population_counts","long","lat","imdd_weight_av","country","lc_lu_total","Littoral sediment_1","Saltwater_1","Freshwater_1","total_cover","green","blue","grey","bgg_check","perc_green","perc_blue","perc_grey"
"Dunfermline",2148171.114,0,3868601.74,2140871.459,100177.7042,0,0,0,0,1771.554264,0,0,0,1235.47896,0,400.2423499,0,0,0,1764365.248,15025926.04,25051520.5807739,154065,0,0,17304800,25205586,"inland",55480,56.06931892,-3.425640758,6.973325731,"scotland",25205585.5807739,0,0,155300.47896,25205585.5807739,8259593.571464,155700.7213099,16790291.288,25205585.5807739,32.7689017380504,0.617723086856844,66.6133751750928
"Dunstable",340322.3704,2601.41418,1313000.051,1712868.447,0,0,0,0,0,0,0,0,0,21844.33575,0,0,0,0,0,1399193.079,5044951.278,9834780.97533,43651,0,0,6592958,9878432,"inland",34500,51.88545186,-0.531372526,6.003288812,"england",9878431.97533,0,0,65495.33575,9878431.97533,3368792.28258,65495.33575,6444144.357,9878431.97533,34.1025001841698,0.663013481426662,65.2344863344036
"Durham",3810803.245,0,3622285.627,3704548.74,800.6241794,12538.26,0,100.0776863,100.0780267,17635.59825,0,2702.106361,0,16126.32819,0,0,0,0,0,1673785.223,11400644.5,24262070.4076934,407531,0,0,14841550,24669602,"inland",50510,54.78316972,-1.572833105,7.739488194,"england",24669601.4076934,0,0,423657.32819,24669601.4076934,11171414.2788171,423757.4058763,13074429.723,24669601.4076934,45.2841296225127,1.71773106047894,52.9981393170083
"Ealing",1928539.562,40588.38783,343375.3271,7716104.067,500.2365628,100.0453404,300.1512799,577.990508,16729.7502604,1300.598855,0,0,0,146169.0279,0,0,0,0,0,29000560.69,22286323.74,61481169.5746365,550155,0,0,46986898,62030305,"inland",367100,51.52454473,-0.350316685,4.746536705,"england",62031324.5746365,0,0,696324.0279,62031324.5746365,10047538.1262285,696902.018408,51286884.43,62031324.5746365,16.1975230984133,1.12346789817374,82.6790090034129
"East Grinstead",2670621.177,125542.5,414718.754,3193909.606,0,1097.055219,0,0,29511.31738,103319.5736,0,0,0,2498.211153,0,0,0,0,0,479266.7099,6883052.147,13903537.051252,61659,0,0,7738741,13965296,"inland",26350,51.12755423,-0.012890698,9.181737184,"england",13965196.051252,0,0,64157.211153,13965196.051252,6538719.983199,64157.211153,7362318.8569,13965196.051252,46.821540916447,0.459407880258496,52.7190512032945
"East Kilbride",3649993.945,134292.5661,509146.3031,5248447.922,3201.057622,0,402.4088969,1800.615468,41226.9922,25350.30834,208523.9475,1124181.108,0,1207.47571,0,0,0,0,0,2003291.985,18370655.64,31321722.2749369,180373,0,0,23179660,31502095,"inland",73350,55.75711808,-4.196836316,6.24770455,"scotland",31502095.2749369,0,0,181580.47571,31502095.2749369,10736242.6112589,391905.038678,20373947.625,31502095.2749369,34.0810429197091,1.24406022919307,64.6748968510978
"Eastbourne",929062.473,8801.544036,346733.8917,4123557.576,10556.41533,1398238.08,0,1035963.056,0,0,0,0,165.0224432,10233.9021,0,422952.3356,0,336330.5961,5800.818891,7376243.421,11795098.13,27799737.2622002,526626,35144,673967,20065731,29037074,"coastal",99180,50.79194708,0.284122062,5.455828789,"england",29035474.2622002,371474.5961,674132.0224432,536859.9021,29035474.2622002,6816949.980066,3047182.7311342,19171341.551,29035474.2622002,23.478004590201,10.4946890263169,66.027306383482
"Eastleigh",2337511.711,131955.1827,447559.1036,4889984.301,11931.53867,0,0,96690.86269,537626.272,0,0,0,0,255933.1957,0,0,0,0,0,2789005.349,9331786.963,20829984.47936,298306,0,0,11649922,21128291,"inland",48360,50.97213593,-1.339607434,7.494476057,"england",21128290.47936,0,0,554239.1957,21128290.47936,8356568.10897,650930.05839,12120792.312,21128290.47936,39.551558215907,3.08084584044264,57.3675959436504
"Ebbw Vale",496029.1803,976036.4677,104704.1726,163664.0812,0,900.5668047,1723494.918,0,800.5003383,3945612.421,0,100.0630704,0,121.4526434,0,0,0,0,0,270165.9912,5963909.004,13645538.8188568,133722,0,0,6979991,13779261,"inland",19663,51.79318961,-3.214719132,4.185363688,"wales",13779260.8188568,0,0,133843.4526434,13779260.8188568,7411342.3710134,133843.4526434,6234074.9952,13779260.8188568,53.7862115279148,0.971339859248737,45.2424486128365
"Eccles (Salford)",307655.2832,0,432719.8659,93428.42538,3299067.42,0,0,0,0,0,55363.92574,0,0,48718.24001,0,0,0,0,0,2898730.555,5355583.11,12491266.82523,408394,0,0,8399706,12899761,"inland",41125,53.48463472,-2.363485954,2.795831688,"england",12899660.82523,0,0,457112.24001,12899660.82523,4132870.99448,512476.16575,8254313.665,12899660.82523,32.0386020258506,3.9727879104206,63.9886100637288
"Edinburgh",11136167.46,200.1249857,8011384.87,9004806.637,1304191.083,0,1000.669065,0,100.0669411,44844.03059,0,0,0,2798.863125,0,64198.52204,4586.220838,1715631.072,46255.72427,23686466.54,68467487.88,123490119.763855,1494912,94691,1211145,102481598,126291281,"coastal",526470,55.93470119,-3.239718636,7.176828669,"scotland",126290867.763855,1810322.072,1211145,1497710.863125,126290867.763855,29502694.9415818,4634218.402273,92153954.42,126290867.763855,23.3609091963383,3.66948021209127,72.9696105915704
"Egham",1767846.217,349965.3696,138358.3807,2373290.854,104188.3409,0,0,3781.147485,2277.506359,3501.944972,0,0,0,57246.82743,0,0,0,0,0,1634617.378,4971382.539,11406456.505446,306197,0,0,6879397,11712653,"inland",28000,51.42678962,-0.563447062,7.769634718,"england",11712653.505446,0,0,363443.82743,11712653.505446,4739428.613531,367224.974915,6605999.917,11712653.505446,40.4641750165948,3.13528420134902,56.4005407820561
"Elgin",1450315.147,184835.3339,3548562.033,2062716.569,0,0,0,0,0,0,13258.59129,0,0,437.8849993,0,0,0,0,0,608175.3409,7575712.906,15444013.8060893,187046,0,0,9411724,15631060,"inland",24930,57.64773081,-3.31521444,6.37264031,"scotland",15631059.8060893,0,0,187483.8849993,15631059.8060893,7246429.0829,200742.4762893,8183888.2469,15631059.8060893,46.3591667666517,1.28425377920375,52.3565794541446
